tcm,tcm_index,target_gene_id
金花清感颗粒,tcm-0001,1736
金花清感颗粒,tcm-0001,3791
金花清感颗粒,tcm-0001,55000
金花清感颗粒,tcm-0001,116443
金花清感颗粒,tcm-0001,100036315
金花清感颗粒,tcm-0001,1757
金花清感颗粒,tcm-0001,284382
金花清感颗粒,tcm-0001,5879
金花清感颗粒,tcm-0001,5881
金花清感颗粒,tcm-0001,102633210
金花清感颗粒,tcm-0001,115486470
金花清感颗粒,tcm-0001,1803
金花清感颗粒,tcm-0001,1806
金花清感颗粒,tcm-0001,110357
金花清感颗粒,tcm-0001,93973
金花清感颗粒,tcm-0001,5925
金花清感颗粒,tcm-0001,7980
金花清感颗粒,tcm-0001,100503359
金花清感颗粒,tcm-0001,622402
金花清感颗粒,tcm-0001,1870
金花清感颗粒,tcm-0001,1871
金花清感颗粒,tcm-0001,5970
金花清感颗粒,tcm-0001,5972
金花清感颗粒,tcm-0001,57180
金花清感颗粒,tcm-0001,3938
金花清感颗粒,tcm-0001,10096
金花清感颗粒,tcm-0001,10097
金花清感颗粒,tcm-0001,10120
金花清感颗粒,tcm-0001,10121
金花清感颗粒,tcm-0001,1950
金花清感颗粒,tcm-0001,102639543
金花清感颗粒,tcm-0001,4023
金花清感颗粒,tcm-0001,51135
金花清感颗粒,tcm-0001,59344
金花清感颗粒,tcm-0001,653269
金花清感颗粒,tcm-0001,51191
连花清瘟颗粒/胶囊,tcm-0007,2056
连花清瘟颗粒/胶囊,tcm-0007,15
连花清瘟颗粒/胶囊,tcm-0007,2064
连花清瘟颗粒/胶囊,tcm-0007,18
连花清瘟颗粒/胶囊,tcm-0007,19
连花清瘟颗粒/胶囊,tcm-0007,161823
连花清瘟颗粒/胶囊,tcm-0007,31
连花清瘟颗粒/胶囊,tcm-0007,4129
连花清瘟颗粒/胶囊,tcm-0007,4128
连花清瘟颗粒/胶囊,tcm-0007,4133
连花清瘟颗粒/胶囊,tcm-0007,40
连花清瘟颗粒/胶囊,tcm-0007,41
连花清瘟颗粒/胶囊,tcm-0007,43
连花清瘟颗粒/胶囊,tcm-0007,2099
连花清瘟颗粒/胶囊,tcm-0007,79924
连花清瘟颗粒/胶囊,tcm-0007,2100
连花清瘟颗粒/胶囊,tcm-0007,59
连花清瘟颗粒/胶囊,tcm-0007,60
连花清瘟颗粒/胶囊,tcm-0007,8263
连花清瘟颗粒/胶囊,tcm-0007,4170
连花清瘟颗粒/胶囊,tcm-0007,94
连花清瘟颗粒/胶囊,tcm-0007,4193
连花清瘟颗粒/胶囊,tcm-0007,103
连花清瘟颗粒/胶囊,tcm-0007,104
连花清瘟颗粒/胶囊,tcm-0007,105
连花清瘟颗粒/胶囊,tcm-0007,6256
连花清瘟颗粒/胶囊,tcm-0007,6257
连花清瘟颗粒/胶囊,tcm-0007,116
连花清瘟颗粒/胶囊,tcm-0007,135293
连花清瘟颗粒/胶囊,tcm-0007,57469
连花清瘟颗粒/胶囊,tcm-0007,125
连花清瘟颗粒/胶囊,tcm-0007,130
连花清瘟颗粒/胶囊,tcm-0007,8324
连花清瘟颗粒/胶囊,tcm-0007,8325
连花清瘟颗粒/胶囊,tcm-0007,4233
连花清瘟颗粒/胶囊,tcm-0007,2194
连花清瘟颗粒/胶囊,tcm-0007,148
连花清瘟颗粒/胶囊,tcm-0007,150
连花清瘟颗粒/胶囊,tcm-0007,153
连花清瘟颗粒/胶囊,tcm-0007,154
连花清瘟颗粒/胶囊,tcm-0007,155
连花清瘟颗粒/胶囊,tcm-0007,10396
连花清瘟颗粒/胶囊,tcm-0007,2208
连花清瘟颗粒/胶囊,tcm-0007,4257
连花清瘟颗粒/胶囊,tcm-0007,4258
连花清瘟颗粒/胶囊,tcm-0007,80036
连花清瘟颗粒/胶囊,tcm-0007,2213
连花清瘟颗粒/胶囊,tcm-0007,110773
连花清瘟颗粒/胶囊,tcm-0007,10424
连花清瘟颗粒/胶囊,tcm-0007,6331
连花清瘟颗粒/胶囊,tcm-0007,191
连花清瘟颗粒/胶囊,tcm-0007,6338
连花清瘟颗粒/胶囊,tcm-0007,6339
连花清瘟颗粒/胶囊,tcm-0007,6340
连花清瘟颗粒/胶囊,tcm-0007,196
连花清瘟颗粒/胶囊,tcm-0007,6347
连花清瘟颗粒/胶囊,tcm-0007,207
连花清瘟颗粒/胶囊,tcm-0007,10449
连花清瘟颗粒/胶囊,tcm-0007,4308
连花清瘟颗粒/胶囊,tcm-0007,110804
连花清瘟颗粒/胶囊,tcm-0007,4311
连花清瘟颗粒/胶囊,tcm-0007,4312
连花清瘟颗粒/胶囊,tcm-0007,4313
连花清瘟颗粒/胶囊,tcm-0007,102641880
连花清瘟颗粒/胶囊,tcm-0007,55515
连花清瘟颗粒/胶囊,tcm-0007,159963
连花清瘟颗粒/胶囊,tcm-0007,6363
连花清瘟颗粒/胶囊,tcm-0007,4318
连花清瘟颗粒/胶囊,tcm-0007,4319
